               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.050968,            0.012525,                   0,              0.8084,             0.83784,             0.87454,              0.3627,            0.047041,            0.019711,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.049325,            0.012131,                   0,             0.77381,             0.78378,             0.79235,             0.34351,             0.04839,            0.020061,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.049792,            0.012946,                   0,             0.82203,             0.83784,             0.86313,               0.313,            0.047681,            0.020459,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.050894,            0.011472,                   0,              0.8922,             0.89481,             0.93009,              0.4179,            0.043494,            0.019559,                   0,            0.008647,            0.008647,            0.008647
                  43,             0.04879,            0.013466,                   0,             0.88853,             0.94595,             0.94174,             0.37449,            0.044591,            0.019341,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.046317,            0.011322,                   0,             0.86511,             0.89189,             0.89166,             0.38458,            0.046527,            0.019534,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.046894,            0.011804,                   0,             0.80343,             0.78378,             0.85218,             0.36413,            0.047712,            0.019488,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.048828,            0.011994,                   0,             0.91159,             0.86486,             0.94203,             0.36354,            0.045434,            0.019658,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.046271,            0.012599,                   0,             0.90906,             0.81081,             0.89472,             0.39662,            0.044694,            0.019328,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.045679,            0.011411,                   0,             0.82798,             0.94595,             0.91799,             0.36641,            0.046141,             0.01907,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.047571,             0.01204,                   0,             0.84321,             0.91892,             0.90351,             0.39085,            0.044643,            0.018836,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.045609,            0.011295,                   0,             0.96515,              0.7488,             0.89148,             0.37393,            0.045818,             0.01887,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.047285,            0.012784,                   0,             0.94313,             0.75676,             0.91593,             0.39857,            0.044518,            0.019086,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.046606,            0.011877,                   0,             0.86157,             0.84114,             0.92503,              0.3826,            0.043728,             0.01896,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.045335,            0.011515,                   0,             0.96734,             0.80062,             0.92108,             0.38605,            0.044741,            0.018409,                   0,            0.008284,            0.008284,            0.008284
